Psgc	Region	Province	Town	Barangay
31409009	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN ISIDRO
31409012	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN JUAN
31409013	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN MIGUEL
31409014	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN NICOLAS
31409015	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN PABLO
31409016	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN PASCUAL
31409017	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN PEDRO
31409018	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN ROQUE
31409019	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SAN SEBASTIAN
31409020	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SANTA CRUZ
31409021	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SANTA ELENA
31409023	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SANTO NINO (POB.)
31409024	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	SANTO ROSARIO
31413003	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	BANGKAL
31413004	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	BARAKA
31413006	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	BIGTE
31413007	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	BITUNGOL
31413015	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	MATICTIC
31413016	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	MINUYAN
31413021	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	PINAGTULAYAN
31413022	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	POBLACION
31413024	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	SAN MATEO
31413031	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	TIGBE
31413032	REGION III (CENTRAL LUZON)	BULACAN	NORZAGARAY	SAN LORENZO
31409026	REGION III (CENTRAL LUZON)	BULACAN	HAGONOY	TIBAGUIN
31410002	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	ATLAG
31410003	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	BABATNIN
31410004	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	BAGNA
31410006	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	BALAYONG
31410007	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	BALITE
31410008	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	BANGKAL
31410017	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	CALERO
31410018	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	CALILIGAWAN
31410022	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	LIGAS
31410023	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	LIYANG
31410029	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	MABOLO
31410031	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	MAMBOG
31410032	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	MASILE
31410033	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	MATIMBO
31410034	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	MOJON
31410035	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	NAMAYAN
31410036	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	NIUGAN
31410037	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	PAMARAWAN
31410038	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	PANASAHAN
31410043	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	SAN JUAN
31410048	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	SANTO CRISTO
31410049	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	SANTO NINO (POB.)
31410050	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	SANTO ROSARIO (POB.)
31410051	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	SANTOL
31410054	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MALOLOS (CAPITAL)	TAAL
31411005	REGION III (CENTRAL LUZON)	BULACAN	MARILAO	LIAS
31411008	REGION III (CENTRAL LUZON)	BULACAN	MARILAO	PATUBIG
31411013	REGION III (CENTRAL LUZON)	BULACAN	MARILAO	SANTA ROSA I
31411014	REGION III (CENTRAL LUZON)	BULACAN	MARILAO	SANTA ROSA II
31412010	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MEYCAUAYAN	LANGKA
31412012	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MEYCAUAYAN	LIBTONG
31412013	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MEYCAUAYAN	LIPUTAN
31412014	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MEYCAUAYAN	LONGOS
31412017	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MEYCAUAYAN	PANDAYAN
31412020	REGION III (CENTRAL LUZON)	BULACAN	CITY OF MEYCAUAYAN	POBLACION
31414001	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	BINUANGAN
31414003	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	HULO
31414004	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	LAWA
31414006	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	PACO
31414007	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	PAG-ASA (POB.)
31414008	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	PALIWAS
31414009	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	PANGHULO
31414010	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	SAN PASCUAL
31414011	REGION III (CENTRAL LUZON)	BULACAN	OBANDO	TAWIRAN
31415001	REGION III (CENTRAL LUZON)	BULACAN	PANDI	BAGBAGUIN
31415005	REGION III (CENTRAL LUZON)	BULACAN	PANDI	BUNSURAN II
31415007	REGION III (CENTRAL LUZON)	BULACAN	PANDI	CACARONG MATANDA
31415008	REGION III (CENTRAL LUZON)	BULACAN	PANDI	CUPANG
31415009	REGION III (CENTRAL LUZON)	BULACAN	PANDI	MALIBONG BATA
31415010	REGION III (CENTRAL LUZON)	BULACAN	PANDI	MALIBONG MATANDA
31415012	REGION III (CENTRAL LUZON)	BULACAN	PANDI	MAPULANG LUPA
31415013	REGION III (CENTRAL LUZON)	BULACAN	PANDI	MASAGANA
31415015	REGION III (CENTRAL LUZON)	BULACAN	PANDI	PINAGKUARTELAN
31415018	REGION III (CENTRAL LUZON)	BULACAN	PANDI	SAN ROQUE
31415021	REGION III (CENTRAL LUZON)	BULACAN	PANDI	BAKA-BAKAHAN
31416001	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	BINAKOD
31416003	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	MALUMOT
31416004	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	MASUKOL
31416006	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	PINALAGDAN
31416007	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	POBLACION
31416009	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SAN ISIDRO I
31416010	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SAN ISIDRO II
31416011	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SAN JOSE
31416012	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SAN ROQUE
31416013	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SAN VICENTE
31416014	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SANTA CRUZ
31416015	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SANTO NINO
31416016	REGION III (CENTRAL LUZON)	BULACAN	PAOMBONG	SANTO ROSARIO
31417002	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	BAGONG SILANG
31417003	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	BANGA I
31417004	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	BANGA II
31417005	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	BINTOG
31417006	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	BULIHAN
31417007	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	CULIANIN
31417008	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	DAMPOL
31417014	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	PARULAN
31417015	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	POBLACION
31417017	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	SAN JOSE
31417021	REGION III (CENTRAL LUZON)	BULACAN	PLARIDEL	TABANG
31418001	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	BALATONG A
31418002	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	BALATONG B
31418006	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	DAMPOL II-A
31418007	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	DAMPOL II-B
31418008	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	DULONG MALABON
31418009	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	INAON
31418018	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	PALTAO
31418020	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	PENABATAN
31418025	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	SANTA PEREGRINA
31418026	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	SANTO CRISTO
31418033	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	TAAL
31418034	REGION III (CENTRAL LUZON)	BULACAN	PULILAN	TABON
31419001	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	AKLE
31419002	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	ALAGAO
31419003	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	ANYATAM
31419006	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	BAGONG BARRIO
31419007	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	BASUIT
31419008	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	BUBULONG MUNTI
31419009	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	BUBULONG MALAKI
31419010	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	BUHOL NA MANGGA
31419011	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	BULUSUKAN
31419012	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	CALASAG
31419013	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	CALAWITAN
31419014	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	CASALAT
31419015	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	GABIHAN
31419016	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	GARLANG
31419017	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	LAPNIT
31419018	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	MAASIM
31419019	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	MAKAPILAPIL
31419020	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	MALIPAMPANG
31419021	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	MATIMBUBONG
31419022	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	NABAONG GARLANG
31419023	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	PALAPALA
31419024	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	PASONG BANGKAL
31419025	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	PINAOD
31419026	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	POBLACION
31419027	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	PULONG TAMO
31419028	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SAN JUAN
31419029	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SANTA CATALINA BATA
31419030	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SANTA CATALINA MATANDA
31419031	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SAPANG DAYAP
31419032	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SAPANG PUTIK
31419033	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SAPANG PUTOL
31419034	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	SUMANDIG
31419035	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	TELEPATIO
31419036	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	UPIG
31419037	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	UMPUCAN
31419038	REGION III (CENTRAL LUZON)	BULACAN	SAN ILDEFONSO	MATAAS NA PARANG
31420001	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	BAGONG BUHAY
31420005	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	KAYBANBAN
31420006	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MINUYAN
31420009	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTO CRISTO
31420010	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAPANG PALAY
31420011	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	TUNGKONG MANGGA
31420012	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	CITRUS
31420013	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN MARTIN
31420014	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTA CRUZ
31420015	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FATIMA
31420017	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN RAFAEL
31420018	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTO NINO
31420019	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	ASSUMPTION
31420020	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	BAGONG BUHAY II
31420021	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	BAGONG BUHAY III
31420022	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	CIUDAD REAL
31420023	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FATIMA II
31420024	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FATIMA III
31420025	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FATIMA IV
31420026	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FATIMA V
31420027	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FRANCISCO HOMES-GUIJO
31420028	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FRANCISCO HOMES-MULAWIN
31420029	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	FRANCISCO HOMES-NARRA
31420032	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	GUMAOC CENTRAL
31420033	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	GUMAOC EAST
31420034	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	GUMAOC WEST
31420035	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	LAWANG PARI
31420037	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MINUYAN II
31420038	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MINUYAN III
31420039	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MINUYAN IV
31420040	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MINUYAN V
31420041	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	MINUYAN PROPER
31420042	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	PARADISE III
31420044	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN ISIDRO
31420046	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN MARTIN II
31420047	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN MARTIN III
31420048	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN MARTIN IV
31420049	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN RAFAEL I
31420050	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN RAFAEL III
31420051	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN RAFAEL IV
31420052	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN RAFAEL V
31420053	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SAN ROQUE
31420054	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTA CRUZ II
31420055	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTA CRUZ III
31420056	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTA CRUZ IV
31420057	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTA CRUZ V
31420058	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	SANTO NINO II
31420059	REGION III (CENTRAL LUZON)	BULACAN	CITY OF SAN JOSE DEL MONTE	ST. MARTIN DE PORRES
31421001	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BAGONG SILANG
31421002	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BALAONG
31421003	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BALITE
31421004	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BANTOG
31421006	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BARDIAS
31421007	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BARITAN
31421009	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BATASAN MATANDA
31421011	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BIAK-NA-BATO
31421012	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BICLAT
31421013	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BUGA
31421014	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BULIRAN
31421015	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BULUALTO
31421016	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	CALUMPANG
31421019	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	CAMBIO
31424001	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	BAYABAS
31424002	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	KABAYUNAN
31424003	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	CAMACHIN
31424004	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	CAMACHILE
31424005	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	KALAWAKAN
31424006	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	PULONG SAMPALOK
31424007	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	TALBAK
31424008	REGION III (CENTRAL LUZON)	BULACAN	DONA REMEDIOS TRINIDAD	SAPANG BULAK
34901003	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	BETES
34901004	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	BIBICLAT
34901005	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	BUCOT
34901010	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	LA PURISIMA
34901015	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	MAGSAYSAY
34901016	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	MACABUCOD
34901018	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	PANTOC
34901020	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	POBLACION CENTRO
34901021	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	POBLACION EAST I
34901022	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	POBLACION EAST II
34901023	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	POBLACION WEST III
34901024	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	POBLACION WEST IV
34901027	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN CARLOS
34901028	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN EMILIANO
34901029	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN EUSTACIO
34901030	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN FELIPE BATA
34901031	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN FELIPE MATANDA
34901032	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN JUAN
34901033	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN PABLO BATA
34901034	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SAN PABLO MATANDA
34901035	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SANTA MONICA
34901036	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SANTIAGO
34901038	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SANTO ROSARIO
34901039	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SANTO TOMAS
34901040	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	SUNSON
34901042	REGION III (CENTRAL LUZON)	NUEVA ECIJA	ALIAGA	UMANGAN
31421021	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	ILOG-BULO
31421023	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	KING KABAYO
31421024	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	LABNE
31421025	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	LAMBAKIN
31421027	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	MAGMARALE
31421028	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	MALIBAY
31421030	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	MANDILE
31421031	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	MASALIPIT
31421032	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	PACALAG
31421033	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	PALIWASAN
31421035	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	PARTIDA
31421036	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	PINAMBARAN
31421037	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	POBLACION
31421038	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	PULONG BAYABAS
31421039	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SACDALAN
31421040	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SALACOT
31421041	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SALANGAN
31421044	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SAN JOSE
31421045	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SAN JUAN
31421046	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SAN VICENTE
31421047	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SANTA INES
31421048	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SANTA LUCIA
31421049	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SANTA RITA BATA
31421050	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SANTA RITA MATANDA
31421051	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SAPANG
31421052	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	SIBUL
31421054	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	TARTARO
31421055	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	TIBAGAN
31421056	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	BAGONG PAG-ASA
31421057	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	PULONG DUHAT
31421058	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	MALIGAYA
31421059	REGION III (CENTRAL LUZON)	BULACAN	SAN MIGUEL	TIGPALAS
31422001	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	BMA-BALAGTAS
31422002	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	BANCA-BANCA
31422003	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	CAINGIN
31422004	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	CORAL NA BATO
31422005	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	CRUZ NA DAAN
31422006	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	DAGAT-DAGATAN
31422007	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	DILIMAN I
31422008	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	DILIMAN II
31422009	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	CAPIHAN
31422011	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	LICO
31422012	REGION III (CENTRAL LUZON)	BULACAN	SAN RAFAEL	MAASIM
